fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,last_train_step,last_train_loss,best_eval_loss
5,1,0.2,1,128,1024,4096,8800,2.3021,2.305004358291626
5,1,0.25,1,128,512,2048,8800,2.32,2.318180561065674
5,1,0.25,1,128,512,3072,11600,2.3068,2.3037917613983154
5,1,0.25,1,128,512,4096,8800,2.3179,2.315551519393921
5,1,0.25,1,128,768,2048,8800,2.3092,2.3144497871398926
5,1,0.25,1,128,768,3072,11600,2.294,2.292789936065674
5,1,0.25,1,128,768,4096,11600,2.2915,2.2966275215148926
5,1,0.25,1,128,1024,2048,11600,2.2872,2.2941489219665527
5,1,0.25,1,128,1024,3072,11600,2.2814,2.2954652309417725
5,1,0.25,1,128,1024,4096,8800,2.3023,2.3143069744110107
5,1,0.15,5,128,512,2048,4800,2.282,2.3004817962646484
5,1,0.15,5,128,512,3072,4800,2.2834,2.3044400215148926
5,1,0.15,5,128,512,4096,5200,2.2775,2.324525117874145
5,1,0.15,5,128,768,2048,4800,2.2603,2.302241802215576
5,1,0.15,5,128,768,3072,4800,2.2625,2.302393913269043
5,1,0.15,5,128,768,4096,4800,2.2683,2.2975564002990723
5,1,0.15,5,128,1024,2048,4800,2.2577,2.2962534427642822
5,1,0.15,5,128,1024,3072,4800,2.2614,2.3050897121429443
5,1,0.15,5,128,1024,4096,4800,2.2675,2.304758071899414
5,1,0.2,5,128,512,2048,8800,2.2274,2.2617626190185547
5,1,0.2,5,128,512,3072,8800,2.2258,2.263734579086304
5,1,0.2,5,128,512,4096,11600,2.1879,2.26615571975708
5,1,0.2,5,128,768,2048,8400,2.1804,2.269598484039306
5,1,0.2,5,128,768,3072,8800,2.1652,2.2563486099243164
5,1,0.2,5,128,768,4096,8800,2.172,2.250645160675049
5,1,0.2,5,128,1024,2048,8000,2.1565,2.2744250297546387
5,1,0.2,5,128,1024,3072,8800,2.129,2.252901792526245
5,1,0.2,5,128,1024,4096,8800,2.13,2.2488038539886475
5,1,0.25,5,128,512,2048,8400,2.2364,2.28432035446167
5,1,0.25,5,128,512,3072,8800,2.2271,2.2673914432525635
5,1,0.25,5,128,512,4096,8400,2.2332,2.282812118530273
5,1,0.25,5,128,768,2048,8400,2.1779,2.272747039794922
5,1,0.25,5,128,768,3072,8800,2.1592,2.261265277862549
5,1,0.25,5,128,768,4096,8400,2.1741,2.2719662189483643
5,1,0.25,5,128,1024,2048,8400,2.1422,2.276893138885498
5,1,0.25,5,128,1024,3072,8400,2.1352,2.2743618488311768
5,1,0.25,5,128,1024,4096,8400,2.1426,2.280146360397339
5,1,0.15,9,128,512,2048,5200,2.2557,2.3168745040893555
5,1,0.15,9,128,512,3072,4800,2.2687,2.30492639541626
5,1,0.15,9,128,512,4096,4800,2.2796,2.309004545211792
5,1,0.15,9,128,768,2048,5200,2.2316,2.3172285556793213
5,1,0.15,9,128,768,3072,4800,2.2599,2.304107427597046
