fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,avg_train_loss,avg_eval_loss
0,12,0.1,2,128,768,3072,2.3093,2.3030543009440105
1,12,0.1,2,128,768,3072,2.272447619047619,2.2971152283928613
2,12,0.1,2,128,768,3072,2.325136363636364,2.313131769498189
3,12,0.1,2,128,768,3072,2.3157583333333336,2.3086123649890604
4,12,0.1,2,128,768,3072,2.316958333333333,2.313983055261465
0,12,0.1,2,128,768,4096,2.310507142857143,2.306052223841349
1,12,0.1,2,128,768,4096,2.2734809523809525,2.299424572424455
2,12,0.1,2,128,768,4096,2.3253454545454546,2.3124093810717263
3,12,0.1,2,128,768,4096,2.3183666666666665,2.310390362372765
4,12,0.1,2,128,768,4096,2.3172916666666663,2.313618880051833
0,12,0.2,2,128,768,2048,2.2918,2.2999995231628416
1,12,0.2,2,128,768,2048,2.272670588235294,2.295496569739448
2,12,0.2,2,128,768,2048,2.308463636363636,2.301052530606588
3,12,0.2,2,128,768,2048,2.3062454545454547,2.3054171601931253
4,12,0.2,2,128,768,2048,2.254885714285715,2.28901592167941
0,12,0.2,2,128,768,3072,2.293057142857143,2.3006017208099365
1,12,0.2,2,128,768,3072,2.272158823529412,2.294093794292874
2,12,0.2,2,128,768,3072,2.3111363636363635,2.304690917332968
3,12,0.2,2,128,768,3072,2.3052363636363635,2.307043194770813
4,12,0.2,2,128,768,3072,2.2492545454545456,2.2894354695859165
0,12,0.2,2,128,768,4096,2.292142857142857,2.301683298746745
1,12,0.2,2,128,768,4096,2.273235294117647,2.2960029575559826
2,12,0.2,2,128,768,4096,2.307172727272727,2.300954600175222
3,12,0.2,2,128,768,4096,2.307072727272727,2.3071986635526023
4,12,0.2,2,128,768,4096,2.248931818181818,2.2899638155232305
0,12,0.4,2,128,768,2048,2.2667636363636365,2.3001434388368027
1,12,0.4,2,128,768,2048,2.265354545454545,2.305776969246242
2,12,0.4,2,128,768,2048,2.286664705882353,2.3006166087256537
3,12,0.4,2,128,768,2048,2.284929411764706,2.3073240915934243
4,12,0.4,2,128,768,2048,2.284617647058824,2.307033485836453
0,12,0.4,2,128,768,3072,2.266009090909091,2.3014882336492124
1,12,0.4,2,128,768,3072,2.263027272727273,2.3061056966366977
2,12,0.4,2,128,768,3072,2.286694117647059,2.300294121106466
3,12,0.4,2,128,768,3072,2.284870588235294,2.307386835416158
4,12,0.4,2,128,768,3072,2.2627909090909086,2.301627542661584
0,12,0.4,2,128,768,4096,2.26475,2.301766903504081
1,12,0.4,2,128,768,4096,2.2612363636363635,2.304980941440748
2,12,0.4,2,128,768,4096,2.285035294117647,2.3012099266052246
3,12,0.4,2,128,768,4096,2.2817352941176474,2.3067332903544107
4,12,0.4,2,128,768,4096,2.2854375,2.307484781040865
0,12,0.6,2,128,768,2048,2.300077272727272,2.3169622317604395
1,12,0.6,2,128,768,2048,2.2862259259259257,2.322164833545685
2,12,0.6,2,128,768,2048,2.310366666666667,2.3169327911577726
3,12,0.6,2,128,768,2048,2.3111,2.324328104654948
4,12,0.6,2,128,768,2048,2.31289375,2.327640687718111
0,12,0.6,2,128,768,3072,2.2989954545454547,2.3178844866545303
1,12,0.6,2,128,768,3072,2.307738888888889,2.325480912861071
2,12,0.6,2,128,768,3072,2.3077,2.315973206570274
3,12,0.6,2,128,768,3072,2.28824,2.321086654296288
4,12,0.6,2,128,768,3072,2.3126687500000003,2.3272565953871784
0,12,0.6,2,128,768,4096,2.2988272727272725,2.3177414769711704
1,12,0.6,2,128,768,4096,2.2830925925925927,2.322213453905923
2,12,0.6,2,128,768,4096,2.3087944444444446,2.317273692080849
3,12,0.6,2,128,768,4096,2.3100117647058824,2.325293567445544
4,12,0.6,2,128,768,4096,2.31095625,2.3264260432299446
0,16,0.1,1,128,768,2048,2.3291642857142856,2.314737669626872
1,16,0.1,1,128,768,2048,2.3000857142857143,2.31126251003959
2,16,0.1,1,128,768,2048,2.342263636363636,2.325854698816935
3,16,0.1,1,128,768,2048,2.314911764705882,2.310721900728014
4,16,0.1,1,128,768,2048,2.3344416666666667,2.3248176758105936
0,16,0.1,1,128,768,3072,2.327892857142857,2.315739997227986
1,16,0.1,1,128,768,3072,2.2996428571428567,2.31127620827068
2,16,0.1,1,128,768,3072,2.338363636363636,2.321744660536448
3,16,0.1,1,128,768,3072,2.3094944444444443,2.308026765522204
4,16,0.1,1,128,768,3072,2.333925,2.3257037676297703
0,16,0.1,1,128,768,4096,2.328721428571428,2.315666500727336
1,16,0.1,1,128,768,4096,2.312194117647058,2.313964353667365
2,16,0.1,1,128,768,4096,2.311705555555556,2.305506894462987
3,16,0.1,1,128,768,4096,2.332958333333333,2.3179705142974854
4,16,0.1,1,128,768,4096,2.334825,2.3236677646636963
0,16,0.2,1,128,768,3072,2.313828571428572,2.3119954744974773
1,16,0.2,1,128,768,3072,2.2996823529411765,2.3071100579367743
2,16,0.2,1,128,768,3072,2.3263181818181824,2.3149274984995523
3,16,0.2,1,128,768,3072,2.3235272727272727,2.3155163725217185
4,16,0.2,1,128,768,3072,2.283940909090909,2.301290512084961
0,16,0.2,1,128,768,2048,2.315185714285714,2.3109409332275392
1,16,0.2,1,128,768,2048,2.301041176470588,2.3068500227398343
2,16,0.2,1,128,768,2048,2.327972727272727,2.3151649832725525
3,16,0.2,1,128,768,2048,2.325290909090909,2.317409793535868
4,16,0.2,1,128,768,2048,2.266779310344828,2.296620003382365
0,16,0.2,1,128,768,4096,2.3135285714285714,2.310479688644409
1,16,0.2,1,128,768,4096,2.299111764705882,2.305382145775689
2,16,0.2,1,128,768,4096,2.255454838709677,2.285645298659801
3,16,0.2,1,128,768,4096,2.3222909090909094,2.315351029237112
4,16,0.2,1,128,768,4096,2.2832954545454545,2.2990958379662554
0,16,0.4,1,128,768,2048,2.297731818181818,2.3097156234409497
1,16,0.4,1,128,768,2048,2.295259090909091,2.314687905104264
2,16,0.4,1,128,768,2048,2.311717647058824,2.312333252694872
3,16,0.4,1,128,768,2048,2.3087941176470586,2.317053861088223
4,16,0.4,1,128,768,2048,2.3119875,2.319464501212625
0,16,0.4,1,128,768,3072,2.295990909090909,2.31065789512966
1,16,0.4,1,128,768,3072,2.2950045454545456,2.3155537480893345
2,16,0.4,1,128,768,3072,2.310894117647059,2.312004142337375
3,16,0.4,1,128,768,3072,2.3081529411764703,2.3171258899900646
4,16,0.4,1,128,768,3072,2.3110500000000003,2.318770590950461
0,16,0.4,1,128,768,4096,2.294845454545454,2.309468072393666
1,16,0.4,1,128,768,4096,2.2939000000000003,2.316091838090316
2,16,0.4,1,128,768,4096,2.3101,2.311910377608405
3,16,0.4,1,128,768,4096,2.292572727272728,2.31165075302124
4,16,0.4,1,128,768,4096,2.29869,2.3143188839867
0,16,0.6,1,128,768,2048,2.319772727272728,2.324791669845581
1,16,0.6,1,128,768,2048,2.309611111111112,2.328135703291212
2,16,0.6,1,128,768,2048,2.3268722222222227,2.325591689661929
3,16,0.6,1,128,768,2048,2.3181772727272727,2.3282909289650293
4,16,0.6,1,128,768,2048,2.3292375,2.335179609410903
0,16,0.6,1,128,768,3072,2.318018181818182,2.3243598005046016
1,16,0.6,1,128,768,3072,2.308518518518518,2.328215071133205
2,16,0.6,1,128,768,3072,2.325388888888889,2.323879756425556
3,16,0.6,1,128,768,3072,2.316790909090909,2.328337182169375
4,16,0.6,1,128,768,3072,2.3285125,2.334988580030553
0,16,0.6,1,128,768,4096,2.3170954545454547,2.3237159563147505
1,16,0.6,1,128,768,4096,2.3069888888888888,2.3279188019888744
2,16,0.6,1,128,768,4096,2.3243722222222223,2.324112979989303
3,16,0.6,1,128,768,4096,2.315859090909091,2.327966482742973
4,16,0.6,1,128,768,4096,2.3273312500000003,2.334015060873593
0,16,0.1,2,128,768,2048,2.306014285714286,2.301377296447754
1,16,0.1,2,128,768,2048,2.269766666666667,2.2982052781365137
2,16,0.1,2,128,768,2048,2.323418181818182,2.312694529692332
3,16,0.1,2,128,768,2048,2.31315,2.3055207362541785
4,16,0.1,2,128,768,2048,2.315275,2.31265926361084
0,16,0.1,2,128,768,3072,2.307842857142857,2.30265375773112
1,16,0.1,2,128,768,3072,2.268404761904762,2.295963406562805
2,16,0.1,2,128,768,3072,2.323509090909091,2.31191877524058
3,16,0.1,2,128,768,3072,2.313883333333333,2.3071559209090013
4,16,0.1,2,128,768,3072,2.3161,2.3136929915501523
0,16,0.1,2,128,768,4096,2.309107142857143,2.304553492863973
1,16,0.1,2,128,768,4096,2.2699000000000007,2.299506891857494
2,16,0.1,2,128,768,4096,2.323981818181818,2.3116033474604287
3,16,0.1,2,128,768,4096,2.315608333333333,2.309477347594041
4,16,0.1,2,128,768,4096,2.314975,2.3125347174130955
0,16,0.2,2,128,768,3072,2.290692857142857,2.300384759902954
1,16,0.2,2,128,768,3072,2.302672727272728,2.306807498137156
2,16,0.2,2,128,768,3072,2.306390909090909,2.3016189336776733
3,16,0.2,2,128,768,3072,2.3040454545454545,2.3062637050946555
