fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,avg_train_loss,avg_eval_loss
1,16,0.4,1,128,768,4096,2.2939000000000003,2.316091838090316
2,16,0.4,1,128,768,4096,2.3101,2.311910377608405
3,16,0.4,1,128,768,4096,2.292572727272728,2.31165075302124
4,16,0.4,1,128,768,4096,2.29869,2.3143188839867
0,16,0.6,1,128,768,2048,2.319772727272728,2.324791669845581
1,16,0.6,1,128,768,2048,2.309611111111112,2.328135703291212
2,16,0.6,1,128,768,2048,2.3268722222222227,2.325591689661929
3,16,0.6,1,128,768,2048,2.3181772727272727,2.3282909289650293
4,16,0.6,1,128,768,2048,2.3292375,2.335179609410903
0,16,0.6,1,128,768,3072,2.318018181818182,2.3243598005046016
1,16,0.6,1,128,768,3072,2.308518518518518,2.328215071133205
2,16,0.6,1,128,768,3072,2.325388888888889,2.323879756425556
3,16,0.6,1,128,768,3072,2.316790909090909,2.328337182169375
4,16,0.6,1,128,768,3072,2.3285125,2.334988580030553
0,16,0.6,1,128,768,4096,2.3170954545454547,2.3237159563147505
1,16,0.6,1,128,768,4096,2.3069888888888888,2.3279188019888744
2,16,0.6,1,128,768,4096,2.3243722222222223,2.324112979989303
3,16,0.6,1,128,768,4096,2.315859090909091,2.327966482742973
4,16,0.6,1,128,768,4096,2.3273312500000003,2.334015060873593
0,16,0.1,2,128,768,2048,2.306014285714286,2.301377296447754
1,16,0.1,2,128,768,2048,2.269766666666667,2.2982052781365137
2,16,0.1,2,128,768,2048,2.323418181818182,2.312694529692332
3,16,0.1,2,128,768,2048,2.31315,2.3055207362541785
4,16,0.1,2,128,768,2048,2.315275,2.31265926361084
0,16,0.1,2,128,768,3072,2.307842857142857,2.30265375773112
1,16,0.1,2,128,768,3072,2.268404761904762,2.295963406562805
2,16,0.1,2,128,768,3072,2.323509090909091,2.31191877524058
3,16,0.1,2,128,768,3072,2.313883333333333,2.3071559209090013
4,16,0.1,2,128,768,3072,2.3161,2.3136929915501523
0,16,0.1,2,128,768,4096,2.309107142857143,2.304553492863973
1,16,0.1,2,128,768,4096,2.2699000000000007,2.299506891857494
2,16,0.1,2,128,768,4096,2.323981818181818,2.3116033474604287
3,16,0.1,2,128,768,4096,2.315608333333333,2.309477347594041
4,16,0.1,2,128,768,4096,2.314975,2.3125347174130955
0,16,0.2,2,128,768,3072,2.290692857142857,2.300384759902954
1,16,0.2,2,128,768,3072,2.302672727272728,2.306807498137156
2,16,0.2,2,128,768,3072,2.306390909090909,2.3016189336776733
3,16,0.2,2,128,768,3072,2.3040454545454545,2.3062637050946555
4,16,0.2,2,128,768,3072,2.287128571428572,2.3004231611887613
0,16,0.2,2,128,768,2048,2.288792857142857,2.298115619023641
1,16,0.2,2,128,768,2048,2.2695705882352937,2.2938312424553766
2,16,0.2,2,128,768,2048,2.2672222222222222,2.2853764609286658
3,16,0.2,2,128,768,2048,2.303972727272728,2.305925985177358
4,16,0.2,2,128,768,2048,2.208968965517241,2.281676046053569
0,16,0.2,2,128,768,4096,2.289935714285714,2.300331846872965
1,16,0.2,2,128,768,4096,2.2687882352941173,2.294546206792196
2,16,0.2,2,128,768,4096,2.2661666666666664,2.2850582223189506
3,16,0.2,2,128,768,4096,2.302536363636364,2.304937422275543
4,16,0.2,2,128,768,4096,2.244422727272728,2.2886332636294155
0,16,0.4,2,128,768,2048,2.2633045454545457,2.299244403839112
1,16,0.4,2,128,768,2048,2.260659090909091,2.3048833453136943
2,16,0.4,2,128,768,2048,2.2835470588235296,2.2993051608403525
3,16,0.4,2,128,768,2048,2.281258823529412,2.3068500757217407
4,16,0.4,2,128,768,2048,2.2813235294117646,2.306462314393785
0,16,0.4,2,128,768,3072,2.262581818181818,2.300125391586968
1,16,0.4,2,128,768,3072,2.25965,2.3056382199992305
2,16,0.4,2,128,768,3072,2.2834470588235294,2.3003321091334024
3,16,0.4,2,128,768,3072,2.2822235294117643,2.306903772883945
4,16,0.4,2,128,768,3072,2.280623529411765,2.3051526811387806
0,16,0.4,2,128,768,4096,2.261586363636364,2.300131186195042
1,16,0.4,2,128,768,4096,2.255472727272727,2.304721853007441
2,16,0.4,2,128,768,4096,2.2762333333333333,2.298217836179232
3,16,0.4,2,128,768,4096,2.279776470588235,2.3064560227923923
4,16,0.4,2,128,768,4096,2.2783470588235297,2.3046904537412853
0,16,0.6,2,128,768,2048,2.2976772727272725,2.3179831297501274
1,16,0.6,2,128,768,2048,2.30575,2.3238329009005896
2,16,0.6,2,128,768,2048,2.3081499999999995,2.316692904422158
3,16,0.6,2,128,768,2048,2.28866,2.3209860141460714
4,16,0.6,2,128,768,2048,2.3130875,2.327377122991225
0,16,0.6,2,128,768,3072,2.296609090909091,2.3173935206040093
1,16,0.6,2,128,768,3072,2.294322727272727,2.32248534326968
2,16,0.6,2,128,768,3072,2.307672222222222,2.3166630770030774
3,16,0.6,2,128,768,3072,2.323116666666667,2.3269932086651144
