Precision,Recall,Threshold
0.5095433679632762,0.9929378531073446,-53.23937630653381
0.5096665055582407,0.9929378531073446,-53.20058274269104
0.5097897026831038,0.9929378531073446,-53.133325815200806
0.5099129593810445,0.9929378531073446,-53.07102167606354
0.5100362756952842,0.9929378531073446,-52.91039156913757
0.5101596516690856,0.9929378531073446,-52.891587138175964
0.5102830873457537,0.9929378531073446,-52.86533749103546
0.510164569215876,0.992467043314501,-52.84314942359924
0.5102880658436214,0.992467043314501,-52.831820607185364
0.5104116222760291,0.992467043314501,-52.826461255550385
0.5105352385565513,0.992467043314501,-52.71558856964111
0.5106589147286822,0.992467043314501,-52.68242859840393
0.5105403440755997,0.9919962335216572,-52.659199833869934
0.5106640814348037,0.9919962335216572,-52.65390205383301
0.5107878787878788,0.9919962335216572,-52.63783013820648
